ANG,LOV,JOY,SAD,ARO,VAL,DOM,MOD,IND,IMP,CON,SUB,POL,NEG,POS,EXP_COR,EXP_SPO,EXP_BN,EXP_QUIT,EXP_SEN,radioSilence,missingLinks,orgSilo,smelly,quitter,project
0.007746479,0.254929577,0.100704225,0.187323944,0.884581689,1.34490188,1.340006045,0.584718592,0.595070423,0.057746479,0.344366197,0.002816901,0.498591549,-0.150559884,0.220913733,14,0,15,0,99.25474572,1,0,0,1,0,OFBiz
0.019480519,0.12012987,0.068181818,0.230519481,1.069785111,1.568798989,1.567550925,0.567947963,0.561688312,0.051948052,0.383116883,0.003246753,0.464285714,-0.195093308,0.202437539,0,0,0,0,70.72483165,0,0,0,0,0,Wicket
0,0.174603175,0.015873016,0.079365079,0.771637029,1.175338217,1.189629633,0.79354127,0.682539683,0.126984127,0.19047619,0,0.444444444,-0.1595,0.20265,0,0,0,0,7.160398751,0,0,0,0,0,OFBiz
0.1,0.1,0.1,0.3,1.42273141,1.86426602,2.01123324,0.737139356,0.8,0,0.2,0,0.2,-0.344444447,0.180646466,0,0,0,0,36,0,0,0,0,0,Hibernate ORM
0,0.10989011,0.049450549,0.203296703,1.10753423,1.562622035,1.594188799,0.562420941,0.461538462,0.258241758,0.274725275,0.005494505,0.494505495,-0.172613575,0.207081011,6,1,0,0,28.14087573,0,1,1,1,0,Hibernate ORM
0,0,0,0,1.4833332,1.9499999,1.89,1,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,Hibernate ORM
0,0.333333333,0,0.333333333,0.919974667,1.363432867,1.356544967,0.589266667,0.666666667,0,0.333333333,0,0.666666667,0,0.2028,0,0,0,0,4.666666667,0,0,0,0,0,Hadoop Common
0.019704433,0.045566502,0.041871921,0.238916256,0.813920571,1.255050053,1.23066137,0.609511207,0.65270936,0.0591133,0.283251232,0.004926108,0.311576355,-0.165408609,0.187091029,0,0,0,0,19.10589174,0,0,0,0,0,Cassandra
0,0,0,0,0.5872727,0.9157576,0.929697,0.75,1,0,0,0,0,0,0.0733,0,0,0,0,20,0,0,0,0,0,Hadoop Common
0,0.283464567,0.078740157,0.094488189,0.880393857,1.330480288,1.331851003,0.693193701,0.724409449,0,0.275590551,0,0.488188976,-0.1248375,0.21622439,0,0,0,0,123.1359299,0,0,0,0,0,OFBiz
0,0,0,0.5,0.95985965,1.496953177,1.474223467,0.581583333,0.666666667,0,0.333333333,0,0.5,-0.5,0.180825,0,0,1,0,28.5,0,0,0,0,0,Hadoop Common
